Category,Item,Serving Size,Calories,Fat,Carbs,Protein
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),15.4 oz (437 g),1050,50,115,35
Breakfast,Hotcakes,5.3 oz (151 g),350,9,60,8
Breakfast,Hotcakes and Sausage,6.8 oz (192 g),520,24,61,15
Breakfast,Sausage Burrito,3.9 oz (111 g),300,16,26,12
Breakfast,Hash Brown,2 oz (56 g),150,9,15,1
Breakfast,Cinnamon Melts,4 oz (114 g),460,19,66,6
Breakfast,Fruit & Maple Oatmeal,9.6 oz (251 g),290,4,58,5
Breakfast,Fruit & Maple Oatmeal without Brown Sugar,9.6 oz (251 g),260,4,49,5
Beef & Pork,Big Mac,7.4 oz (211 g),530,27,47,24
Beef & Pork,Quarter Pounder with Cheese,7.1 oz (202 g),520,26,41,30
Beef & Pork,Quarter Pounder with Bacon & Cheese,8 oz (227 g),600,29,48,37
Beef & Pork,Quarter Pounder with Bacon Habanero Ranch,8.3 oz (235 g),610,31,46,37
Beef & Pork,Quarter Pounder Deluxe,8.6 oz (244 g),540,27,45,29
Beef & Pork,Double Quarter Pounder with Cheese,10 oz (283 g),750,43,42,48
Beef & Pork,Hamburger,3.5 oz (98 g),240,8,32,12
Beef & Pork,Cheeseburger,4 oz (113 g),290,11,33,15
Beef & Pork,Double Cheeseburger,5.7 oz (161 g),430,21,35,24
Beef & Pork,Bacon Clubhouse Burger,9.5 oz (270 g),720,40,51,39
Beef & Pork,McDouble,5.2 oz (147 g),380,17,34,22
Beef & Pork,Bacon McDouble,5.7 oz (161 g),440,22,35,27
Beef & Pork,Daily Double,6.7 oz (190 g),430,22,34,22
Beef & Pork,Jalapeño Double,5.6 oz (159 g),430,23,35,22
Beef & Pork,McRib,7.3 oz (208 g),500,26,44,22
Chicken & Fish,Premium Crispy Chicken Classic Sandwich,7.5 oz (213 g),510,22,55,24
Chicken & Fish,Premium Grilled Chicken Classic Sandwich,7 oz (200 g),350,9,42,28
Chicken & Fish,Premium Crispy Chicken Club Sandwich,8.8 oz (249 g),670,33,58,36
Chicken & Fish,Premium Grilled Chicken Club Sandwich,8.3 oz (235 g),510,20,44,40
Chicken & Fish,Premium Crispy Chicken Ranch BLT Sandwich,8.1 oz (230 g),610,28,57,32
Chicken & Fish,Premium Grilled Chicken Ranch BLT Sandwich,7.6 oz (217 g),450,15,43,36
Chicken & Fish,Bacon Clubhouse Crispy Chicken Sandwich,10 oz (284 g),750,38,65,36
Chicken & Fish,Bacon Clubhouse Grilled Chicken Sandwich,9.5 oz (270 g),590,25,51,40
Chicken & Fish,Southern Style Crispy Chicken Sandwich,5.6 oz (160 g),430,19,43,21
Chicken & Fish,McChicken,5.1 oz (143 g),360,16,40,14
Chicken & Fish,Bacon Cheddar McChicken,6 oz (171 g),480,24,43,22
Chicken & Fish,Bacon Buffalo Ranch McChicken,5.7 oz (161 g),430,21,41,20
Chicken & Fish,Buffalo Ranch McChicken,5.2 oz (148 g),360,16,40,14
Chicken & Fish,Premium McWrap Chicken & Bacon (Crispy Chicken),11.1 oz (316 g),630,32,56,32
Chicken & Fish,Premium McWrap Chicken & Bacon (Grilled Chicken),10.7 oz (302 g),480,19,42,36
Chicken & Fish,Premium McWrap Chicken & Ranch (Crispy Chicken),10.9 oz (310 g),610,31,56,27
Chicken & Fish,Premium McWrap Chicken & Ranch (Grilled Chicken),10.5 oz (297 g),450,18,42,30
Chicken & Fish,Premium McWrap Southwest Chicken (Crispy Chicken),11.1 oz (314 g),670,33,68,27
Chicken & Fish,Premium McWrap Southwest Chicken (Grilled Chicken),11.2 oz (318 g),520,20,55,31
Chicken & Fish,Premium McWrap Chicken Sweet Chili (Crispy Chicken),10.7 oz (304 g),540,23,61,23
Chicken & Fish,Premium McWrap Chicken Sweet Chili (Grilled Chicken),10.3 oz (291 g),380,10,47,27
Chicken & Fish,Chicken McNuggets (4 piece),2.3 oz (65 g),190,12,12,9
Chicken & Fish,Chicken McNuggets (6 piece),3.4 oz (97 g),280,18,18,13
Chicken & Fish,Chicken McNuggets (10 piece),5.7 oz (162 g),470,30,30,22
Chicken & Fish,Chicken McNuggets (20 piece),11.4 oz (323 g),940,59,59,44
Chicken & Fish,Chicken McNuggets (40 piece),22.8 oz (646 g),1880,118,118,87
Chicken & Fish,Filet-O-Fish,5 oz (142 g),390,19,39,15
Salads,Premium Bacon Ranch Salad (without Chicken),7.9 oz (223 g),140,7,10,9
Salads,Premium Bacon Ranch Salad with Crispy Chicken,9 oz (255 g),380,21,22,25
Salads,Premium Bacon Ranch Salad with Grilled Chicken,8.5 oz (241 g),220,8,8,29
Salads,Premium Southwest Salad (without Chicken),8.1 oz (230 g),140,4.5,20,6
Salads,Premium Southwest Salad with Crispy Chicken,12.3 oz (348 g),450,22,42,23
Salads,Premium Southwest Salad with Grilled Chicken,11.8 oz (335 g),290,8,28,27
Snacks & Sides,Chipotle BBQ Snack Wrap (Crispy Chicken),4.6 oz (130 g),340,15,37,14
Snacks & Sides,Chipotle BBQ Snack Wrap (Grilled Chicken),4.3 oz (123 g),260,8,30,16
Snacks & Sides,Honey Mustard Snack Wrap (Crispy Chicken),4.3 oz (123 g),330,15,34,14
Snacks & Sides,Honey Mustard Snack Wrap (Grilled Chicken),4.1 oz (116 g),250,8,27,16
Snacks & Sides,Ranch Snack Wrap (Crispy Chicken),4.5 oz (128 g),360,20,32,15
Snacks & Sides,Ranch Snack Wrap (Grilled Chicken),4.3 oz (121 g),280,13,25,16
Snacks & Sides,Small French Fries,2.6 oz (75 g),230,11,30,2
Snacks & Sides,Medium French Fries,3.9 oz (111 g),340,16,44,4
Snacks & Sides,Large French Fries,5.9 oz (168 g),510,24,67,6
Snacks & Sides,Kids French Fries,1.3 oz (38 g),110,5,15,1
Snacks & Sides,Side Salad,3.1 oz (87 g),20,0,4,1
Snacks & Sides,Apple Slices,1.2 oz (34 g),15,0,4,0
Snacks & Sides,Fruit 'n Yogurt Parfait,5.2 oz (149 g),150,2,30,4
Desserts,Baked Apple Pie,2.7 oz (77 g),250,13,32,2
Desserts,Chocolate Chip Cookie,1 cookie (33 g),160,8,21,2
Desserts,Oatmeal Raisin Cookie,1 cookie (33 g),150,6,22,2
Desserts,Kids Ice Cream Cone,1 oz (29 g),45,1.5,7,1
Desserts,Hot Fudge Sundae,6.3 oz (179 g),330,9,53,8
Desserts,Hot Caramel Sundae,6.4 oz (182 g),340,8,60,7
Desserts,Strawberry Sundae,6.3 oz (178 g),280,6,49,6
Beverages,Coca-Cola Classic (Small),16 fl oz cup,140,0,39,0
Beverages,Coca-Cola Classic (Medium),21 fl oz cup,200,0,55,0
Beverages,Coca-Cola Classic (Large),30 fl oz cup,280,0,76,0
Beverages,Coca-Cola Classic (Child),12 fl oz cup,100,0,28,0
Beverages,Diet Coke (Small),16 fl oz cup,0,0,0,0
Beverages,Diet Coke (Medium),21 fl oz cup,0,0,0,0
Beverages,Diet Coke (Large),30 fl oz cup,0,0,0,0
Beverages,Diet Coke (Child),12 fl oz cup,0,0,0,0
Beverages,Dr Pepper (Small),16 fl oz cup,140,0,37,0
Beverages,Dr Pepper (Medium),21 fl oz cup,190,0,53,0
Beverages,Dr Pepper (Large),30 fl oz cup,270,0,72,0
Beverages,Dr Pepper (Child),12 fl oz cup,100,0,27,0
Beverages,Diet Dr Pepper (Small),16 fl oz cup,0,0,0,2
Beverages,Diet Dr Pepper (Medium),21 fl oz cup,0,0,0,3
Beverages,Diet Dr Pepper (Large),30 fl oz cup,0,0,0,4
Beverages,Diet Dr Pepper (Child),12 fl oz cup,0,0,0,1
Beverages,Sprite (Small),16 fl oz cup,140,0,37,0
Beverages,Sprite (Medium),21 fl oz cup,200,0,54,0
Beverages,Sprite (Large),30 fl oz cup,280,0,74,0
Beverages,Sprite (Child),12 fl oz cup,100,0,27,0
Beverages,1% Low Fat Milk Jug,1 carton (236 ml),100,2.5,12,8
Beverages,Fat Free Chocolate Milk Jug,1 carton (236 ml),130,0,23,9
Beverages,Minute Maid 100% Apple Juice Box,6 fl oz (177 ml),80,0,21,0
Beverages,Minute Maid Orange Juice (Small),12 fl oz cup,150,0,34,2
Beverages,Minute Maid Orange Juice (Medium),16 fl oz cup,190,0,44,3
Beverages,Minute Maid Orange Juice (Large),22 fl oz cup,280,0,65,4
Beverages,Dasani Water Bottle,16.9 fl oz,0,0,0,0
Coffee & Tea,Iced Tea (Small),16 fl oz cup,0,0,0,0
Coffee & Tea,Iced Tea (Medium),21 fl oz cup,0,0,0,0
Coffee & Tea,Iced Tea (Large),30 fl oz cup,0,0,0,0
Coffee & Tea,Iced Tea (Child),12 fl oz cup,0,0,0,0
Coffee & Tea,Sweet Tea (Small),16 fl oz cup,150,0,36,1
Coffee & Tea,Sweet Tea (Medium),21 fl oz cup,180,0,45,1
Coffee & Tea,Sweet Tea (Large),30 fl oz cup,220,0,54,1
Coffee & Tea,Sweet Tea (Child),12 fl oz cup,110,0,27,0
Coffee & Tea,Coffee (Small),12 fl oz cup,0,0,0,0
Coffee & Tea,Coffee (Medium),16 fl oz cup,0,0,0,0
Coffee & Tea,Coffee (Large),16 fl oz cup,0,0,0,0
Coffee & Tea,Latte (Small),12 fl oz cup,170,9,15,9
Coffee & Tea,Latte (Medium),16 fl oz cup,210,10,18,11
Coffee & Tea,Latte (Large),20 fl oz cup,280,14,24,15
Coffee & Tea,Caramel Latte (Small),12 fl oz cup,270,9,40,9
Coffee & Tea,Caramel Latte (Medium),16 fl oz cup,340,10,50,11
Coffee & Tea,Caramel Latte (Large),20 fl oz cup,430,14,62,15
Coffee & Tea,Hazelnut Latte (Small),12 fl oz cup,270,9,40,9
Coffee & Tea,Hazelnut Latte (Medium),16 fl oz cup,330,10,50,11
Coffee & Tea,Hazelnut Latte (Large),20 fl oz cup,430,14,62,15
Coffee & Tea,French Vanilla Latte (Small),12 fl oz cup,260,9,38,9
Coffee & Tea,French Vanilla Latte (Medium),16 fl oz cup,330,10,48,11
Coffee & Tea,French Vanilla Latte (Large),20 fl oz cup,420,14,60,15
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Small),12 fl oz cup,210,9,24,9
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Medium),16 fl oz cup,260,10,29,12
Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Large),20 fl oz cup,330,14,37,15
Coffee & Tea,Nonfat Latte (Small),12 fl oz cup,100,0,15,10
Coffee & Tea,Nonfat Latte (Medium),16 fl oz cup,130,0,19,12
Coffee & Tea,Nonfat Latte (Large),20 fl oz cup,170,0.5,25,16
Coffee & Tea,Nonfat Caramel Latte (Small),12 fl oz cup,200,0,41,10
Coffee & Tea,Nonfat Caramel Latte (Medium),16 fl oz cup,250,0,51,12
Coffee & Tea,Nonfat Caramel Latte (Large),20 fl oz cup,310,0.5,63,16
Coffee & Tea,Nonfat Hazelnut Latte (Small),12 fl oz cup,200,0,40,10
Coffee & Tea,Nonfat Hazelnut Latte (Medium),16 fl oz cup,250,0,51,12
Coffee & Tea,Nonfat Hazelnut Latte (Large),20 fl oz cup,310,0.5,63,16
Coffee & Tea,Nonfat French Vanilla Latte (Small),12 fl oz cup,190,0,39,10
Coffee & Tea,Nonfat French Vanilla Latte (Medium),16 fl oz cup,240,0,49,12
Coffee & Tea,Nonfat French Vanilla Latte (Large),20 fl oz cup,300,0.5,60,16
Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Small),12 fl oz cup,140,0,24,10
Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),16 fl oz cup,170,0,30,12
Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Large),20 fl oz cup,220,0.5,38,16
Coffee & Tea,Mocha (Small),12 fl oz cup,340,11,49,10
Coffee & Tea,Mocha (Medium),16 fl oz cup,410,14,60,13
Coffee & Tea,Mocha (Large),20 fl oz cup,500,17,72,16
Coffee & Tea,Mocha with Nonfat Milk (Small),12 fl oz cup,270,3.5,49,11
Coffee & Tea,Mocha with Nonfat Milk (Medium),16 fl oz cup,330,3.5,60,13
Coffee & Tea,Mocha with Nonfat Milk (Large),20 fl oz cup,390,4,73,17
Coffee & Tea,Caramel Mocha (Small),12 fl oz cup,320,11,45,10
Coffee & Tea,Caramel Mocha (Medium),16 fl oz cup,390,14,55,12
Coffee & Tea,Caramel Mocha (Large),20 fl oz cup,480,17,66,16
Coffee & Tea,Nonfat Caramel Mocha (Small),12 fl oz cup,250,3.5,45,10
Coffee & Tea,Nonfat Caramel Mocha (Medium),16 fl oz cup,310,3.5,56,13
Coffee & Tea,Nonfat Caramel Mocha (Large),20 fl oz cup,370,3.5,67,17
Coffee & Tea,Hot Chocolate (Small),12 fl oz cup,360,13,50,11
Coffee & Tea,Hot Chocolate (Medium),16 fl oz cup,440,16,61,14
Coffee & Tea,Hot Chocolate (Large),20 fl oz cup,540,20,73,17
Coffee & Tea,Hot Chocolate with Nonfat Milk (Small),12 fl oz cup,280,3.5,50,12
Coffee & Tea,Hot Chocolate with Nonfat Milk (Medium),16 fl oz cup,340,3.5,61,14
Coffee & Tea,Hot Chocolate with Nonfat Milk (Large),20 fl oz cup,400,3.5,74,19
Coffee & Tea,Regular Iced Coffee (Small),16 fl oz cup,140,4.5,23,1
Coffee & Tea,Regular Iced Coffee (Medium),22 fl oz cup,190,7,31,1
Coffee & Tea,Regular Iced Coffee (Large),32 fl oz cup,270,9,47,2
Coffee & Tea,Caramel Iced Coffee (Small),16 fl oz cup,130,4.5,22,1
Coffee & Tea,Caramel Iced Coffee (Medium),22 fl oz cup,180,7,29,1
Coffee & Tea,Caramel Iced Coffee (Large),32 fl oz cup,260,9,43,2
Coffee & Tea,Hazelnut Iced Coffee (Small),16 fl oz cup,130,4.5,21,1
Coffee & Tea,Hazelnut Iced Coffee (Medium),22 fl oz cup,180,7,29,1
Coffee & Tea,Hazelnut Iced Coffee (Large),32 fl oz cup,250,9,43,2
Coffee & Tea,French Vanilla Iced Coffee (Small),16 fl oz cup,120,4.5,20,1
Coffee & Tea,French Vanilla Iced Coffee (Medium),22 fl oz cup,170,7,27,1
Coffee & Tea,French Vanilla Iced Coffee (Large),32 fl oz cup,240,9,41,2
Coffee & Tea,Iced Coffee with Sugar Free French Vanilla Syrup (Small),16 fl oz cup,80,4.5,9,1
Coffee & Tea,Iced Coffee with Sugar Free French Vanilla Syrup (Medium),22 fl oz cup,120,7,12,1
Coffee & Tea,Iced Coffee with Sugar Free French Vanilla Syrup (Large),32 fl oz cup,160,9,18,2
Coffee & Tea,Iced Mocha (Small),12 fl oz cup,290,11,41,8
Coffee & Tea,Iced Mocha (Medium),16 fl oz cup,350,13,50,9
Coffee & Tea,Iced Mocha (Large),22 fl oz cup,480,16,70,14
Coffee & Tea,Iced Mocha with Nonfat Milk (Small),12 fl oz cup,240,5,41,8
Coffee & Tea,Iced Mocha with Nonfat Milk (Medium),16 fl oz cup,290,5,50,10
Coffee & Tea,Iced Mocha with Nonfat Milk (Large),22 fl oz cup,390,6,71,14
Coffee & Tea,Iced Caramel Mocha (Small),12 fl oz cup,280,11,38,8
Coffee & Tea,Iced Caramel Mocha (Medium),16 fl oz cup,340,13,46,9
Coffee & Tea,Iced Caramel Mocha (Large),22 fl oz cup,460,16,65,13
Coffee & Tea,Iced Nonfat Caramel Mocha (Small),12 fl oz cup,230,5,38,8
Coffee & Tea,Iced Nonfat Caramel Mocha (Medium),16 fl oz cup,270,5,47,10
Coffee & Tea,Iced Nonfat Caramel Mocha (Large),22 fl oz cup,370,6,65,14
Coffee & Tea,Frappé Mocha (Small),12 fl oz cup,450,18,65,7
Coffee & Tea,Frappé Mocha (Medium),16 fl oz cup,550,22,80,9
Coffee & Tea,Frappé Mocha (Large),22 fl oz cup,670,26,98,11
Coffee & Tea,Frappé Caramel (Small),12 fl oz cup,450,19,64,7
Coffee & Tea,Frappé Caramel (Medium),16 fl oz cup,550,23,79,9
Coffee & Tea,Frappé Caramel (Large),22 fl oz cup,670,27,96,11
Coffee & Tea,Frappé Chocolate Chip (Small),12 fl oz cup,530,23,76,8
Coffee & Tea,Frappé Chocolate Chip (Medium),16 fl oz cup,630,26,91,9
Coffee & Tea,Frappé Chocolate Chip (Large),22 fl oz cup,760,31,111,12
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Small),12 fl oz cup,220,0.5,50,2
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Medium),16 fl oz cup,260,1,62,3
Smoothies & Shakes,Blueberry Pomegranate Smoothie (Large),22 fl oz cup,340,1,79,4
Smoothies & Shakes,Strawberry Banana Smoothie (Small),12 fl oz cup,210,0.5,47,3
Smoothies & Shakes,Strawberry Banana Smoothie (Medium),16 fl oz cup,250,1,58,4
Smoothies & Shakes,Strawberry Banana Smoothie (Large),22 fl oz cup,330,1,74,5
Smoothies & Shakes,Mango Pineapple Smoothie (Small),12 fl oz cup,210,0.5,50,2
Smoothies & Shakes,Mango Pineapple Smoothie (Medium),16 fl oz cup,260,1,61,3
Smoothies & Shakes,Mango Pineapple Smoothie (Large),22 fl oz cup,340,1,78,4
Smoothies & Shakes,Vanilla Shake (Small),12 fl oz cup,530,15,86,11
Smoothies & Shakes,Vanilla Shake (Medium),16 fl oz cup,660,19,109,14
Smoothies & Shakes,Vanilla Shake (Large),22 fl oz cup,820,23,135,18
Smoothies & Shakes,Strawberry Shake (Small),12 fl oz cup,550,16,90,12
Smoothies & Shakes,Strawberry Shake (Medium),16 fl oz cup,690,20,114,15
Smoothies & Shakes,Strawberry Shake (Large),22 fl oz cup,850,24,140,18
Smoothies & Shakes,Chocolate Shake (Small),12 fl oz cup,560,16,91,12
Smoothies & Shakes,Chocolate Shake (Medium),16 fl oz cup,700,20,114,15
Smoothies & Shakes,Chocolate Shake (Large),22 fl oz cup,850,23,141,19
Smoothies & Shakes,Shamrock Shake (Medium),16 fl oz cup,660,19,109,14
Smoothies & Shakes,Shamrock Shake (Large),22 fl oz cup,820,23,135,18
Smoothies & Shakes,McFlurry with M&M’s Candies (Small),10.9 oz (310 g),650,23,96,13
Smoothies & Shakes,McFlurry with M&M’s Candies (Medium),16.2 oz (460 g),930,33,139,20
Smoothies & Shakes,McFlurry with M&M’s Candies (Snack),7.3 oz (207 g),430,15,64,9
Smoothies & Shakes,McFlurry with Oreo Cookies (Small),10.1 oz (285 g),510,17,80,12
Smoothies & Shakes,McFlurry with Oreo Cookies (Medium),13.4 oz (381 g),690,23,106,15
Smoothies & Shakes,McFlurry with Oreo Cookies (Snack),6.7 oz (190 g),340,11,53,8
Smoothies & Shakes,McFlurry with Reese's Peanut Butter Cups (Medium),14.2 oz (403 g),810,32,114,21
Smoothies & Shakes,McFlurry with Reese's Peanut Butter Cups (Snack),7.1 oz (202 g),410,16,57,10
,5 Ct Nuggets Kid's Meal,71g,160,7,7,17
,2 Ct Chick-n-Strips® Kid's Meal,91g,200,9,11,19
,5 Ct Grilled Nuggets Kid's Meal,59g,80,2,1,16
,Barbeque Sauce,28g,45,0,11,0
,Chick-fil-A® Sauce,28g,140,13,7,0
,Garden Herb Ranch Sauce,28g,140,15,1,1
,Honey Mustard Sauce,28g,50,0,12,0
,Polynesian Sauce,28g,110,6,14,0
,Sweet and Spicy Sriracha Sauce,28g,45,0,11,0
,Zesty Buffalo Sauce,21g,25,2.5,1,0
,Honey Roasted BBQ Sauce,12g,60,5,3,0
,Frosted Lemonade,383g,330,6,65,6
,Frosted Coffee,383g,250,6,43,6
,Chocolate Chunk Cookie,78g,370,17,49,5
,Chocolate Fudge Brownie,85g,380,21,48,4
,Peach Milkshake,412g,590,18,99,11
,Cookies & Cream Milkshake,411g,630,25,90,13
,Chocolate Milkshake,399g,590,22,90,12
,Strawberry Milkshake,412g,570,19,93,11
,Vanilla Milkshake,409g,580,23,82,13
,Icedream® Cone,135g,180,4,32,4
,Icedream® Cup,122g,140,3.5,24,4
,Frosted Lemonade w/ Diet Lemonade,383g,250,6,46,6
,6 pack Chocolate Chunk Cookie,78g,370,17,49,5
,Iced Coffee,438g,150,2.5,30,5
,DASANI® Bottled Water,479g,0,0,0,0
,Honest Kids® Apple Juice,170g,35,0,9,0
,Simply Orange®,326g,160,0,34,2
,1% Chocolate Milk,198g,140,2,23,7
,1% Milk,213g,90,2,10,7
,Coffee,340g,0,0,0,0
,5 lb Bag of Ice,28g,0,0,0,0
,Small Freshly-Brewed Iced Tea Sweetened,201g,70,0,19,0
,Medium Freshly-Brewed Iced Tea Sweetened,320g,120,0,31,0
,Large Freshly-Brewed Iced Tea Sweetened,447g,170,0,43,0
,Small Freshly-Brewed Iced Tea Unsweetened,403g,0,0,0,0
,Medium Freshly-Brewed Iced Tea Unsweetened,547g,0,0,0,0
,Large Freshly-Brewed Iced Tea Unsweetened,839g,0,0,0,0
,Small Chick-fil-A® Lemonade,235g,130,0,33,0
,Medium Chick-fil-A® Lemonade,410g,220,0,58,0
,Large Chick-fil-A® Lemonade,552g,300,0,78,0
,Small Chick-fil-A® Diet Lemonade,235g,30,0,8,0
,Medium Chick-fil-A® Diet Lemonade,410g,50,0,14,0
,Large Chick-fil-A® Diet Lemonade,611g,80,0,21,0
,"Small Sunjoy® (1/2 Sweet Tea, 1/2 Lemonade)",419g,120,0,33,0
,"Medium Sunjoy® (1/2 Sweet Tea, 1/2 Lemonade)",557g,170,0,45,0
,"Large Sunjoy® (1/2 Sweet Tea, 1/2 Lemonade)",861g,260,0,70,0
,"Small Sunjoy® (1/2 Sweet Tea, 1/2 Diet Lemonade)",412g,80,0,20,0
,"Medium Sunjoy® (1/2 Sweet Tea, 1/2 Diet Lemonade)",551g,100,0,25,0
,"Large Sunjoy® (1/2 Sweet Tea, 1/2 Diet Lemonade)",839g,140,0,38,0
,"Small Sunjoy® (1/2 Unsweet Tea, 1/2 Lemonade)",382g,60,0,17,0
,"Medium Sunjoy® (1/2 Unsweet Tea, 1/2 Lemonade)",551g,90,0,25,0
,"Large Sunjoy® (1/2 Unsweet Tea, 1/2 Lemonade)",839g,140,0,39,0
,"Small Sunjoy® (1/2 Unsweet Tea, 1/2 Diet Lemonade)",422g,15,0,4,0
,"Medium Sunjoy® (1/2 Unsweet Tea, 1/2 Diet Lemonade)",551g,20,0,6,0
,"Large Sunjoy® (1/2 Unsweet Tea, 1/2 Diet Lemonade)",839g,35,0,9,0
,Small Coca-Cola®,241g,100,0,27,0
,Medium Coca-Cola®,354g,140,0,40,0
,Large Coca-Cola®,567g,230,0,64,0
,Small Dr Pepper®,320g,140,0,36,0
,Medium Dr Pepper®,434g,180,0,48,0
,Large Dr Pepper®,638g,270,0,71,0
,Gallon Chick-fil-A® Lemonade,3884g,2090,1.5,549,2
,Gallon Chick-fil-A® Diet Lemonade,3714g,460,1.5,126,3
,Gallon Freshly-Brewed Iced Tea Sweetened,4167g,1540,0,398,0
,Gallon Freshly-Brewed Iced Tea Unsweetened,3808g,0,0,0,0
,"Gallon Sunjoy® (1/2 Sweet Tea, 1/2 Lemonade)",4176g,1830,0,496,0
,"Gallon Sunjoy® (1/2 Sweet Tea, 1/2 Diet Lemonade)",3997g,1030,1,270,1
,"Gallon Sunjoy® (1/2 Unsweet Tea, 1/2 Lemonade)",3898g,1040,0,291,0
,"Gallon Sunjoy® (1/2 Unsweet Tea, 1/2 Diet Lemonade)",3719g,240,1,65,1
,Side Salad,166g,470,42,16,7
,Kale Crunch Side,61g,120,9,8,3
,Waffle Potato Chips,43g,220,13,25,3
,Buddy Fruits® Apple Sauce,90g,45,0,12,0
,Small Chick-fil-A Waffle Potato Fries®,96g,320,19,35,4
,Medium Chick-fil-A Waffle Potato Fries®,125g,420,24,45,5
,Large Chick-fil-A Waffle Potato Fries®,179g,600,35,65,7
,Small Fruit Cup,102g,50,0,13,1
,Medium Fruit Cup,119g,60,0,15,1
,Small Mac & Cheese,136g,270,17,17,12
,Medium Mac & Cheese,227g,450,29,28,20
,Cup of Chicken Noodle Soup,233g,170,4,25,10
,Bowl of Chicken Noodle Soup,422g,280,6,38,17
,Greek Yogurt Parfait w/ Granola,221g,270,9,36,13
,Greek Yogurt Parfait w/ Cookie Crumbs,195g,240,8,31,12
,Saltines,12g,50,1,9,1
,Chick-fil-A® Chicken Sandwich,183g,440,17,41,29
,Spicy Chicken Sandwich,188g,460,19,45,28
,Grilled Chicken Sandwich,218g,380,12,43,28
,Chick-fil-A® Cool Wrap,231g,660,45,32,43
,Chick-fil-A® Deluxe Sandwich w/ American,247g,500,22,44,32
,Chick-fil-A® Deluxe Sandwich w/ Colby Jack,254g,530,24,44,35
